gpu_utilization,cpu_utilization,ram_usage_percent,temperature_c,power_draw_w,hour_of_day,day_of_week,requested_duration_hours,historical_reliability,is_available
39.83,69.82,15.35,72.9,38.5,23,2,2.06,0.994,1
93.42,66.86,15.03,62.4,32.5,20,0,1.98,0.993,0
73.08,13.62,52.78,42.7,101.8,0,3,4.98,0.765,1
60.68,88.03,17.34,84.1,285.8,19,6,0.95,0.955,0
19.51,56.16,92.96,87.1,319.5,2,6,0.65,0.919,1
19.51,37.74,32.77,60.7,155.4,12,5,0.82,0.957,1
10.4,73.09,52.81,69.5,210.2,6,3,0.76,0.892,1
85.55,28.16,19.89,61.6,255.9,5,2,2.29,0.673,0
60.9,67.42,56.76,55.5,334.9,5,6,3.55,0.932,1
70.85,8.57,45.4,43.7,322.1,1,3,1.12,0.784,1
6.91,80.55,18.57,61.9,48.3,15,4,0.59,0.967,1
95.2,45.34,41.81,79.3,109.4,5,3,1.04,0.959,1
82.42,62.3,46.31,40.8,45.7,7,1,1.78,0.847,1
24.75,24.91,94.19,67.9,227.3,20,4,2.38,0.907,0
21.91,65.94,31.63,82.3,257.4,10,4,1.8,0.974,1
22.06,74.5,58.58,50.4,128.7,17,2,0.79,0.766,1
33.29,47.59,93.99,48.8,303.2,22,2,5.2,0.744,1
53.8,60.6,78.36,77.1,174.9,5,3,1.35,0.98,1
45.17,46.07,94.47,52.2,349.5,13,3,1.43,0.965,1
32.08,85.47,92.46,49.2,30.1,14,2,7.05,0.946,1
61.9,49.81,54.16,58.1,65.0,10,0,4.26,0.995,1
17.97,80.76,70.71,58.8,126.6,14,3,3.48,0.944,1
32.17,77.12,23.84,82.0,38.2,12,0,0.6,0.984,1
39.07,41.95,50.29,69.7,280.3,5,6,3.84,0.98,1
47.41,25.71,79.72,59.5,46.9,3,4,1.42,0.885,0
78.02,41.55,55.43,65.7,269.7,13,5,0.67,0.993,0
23.57,79.36,71.22,85.8,46.8,12,5,9.6,0.989,0
52.82,25.49,74.66,45.4,110.9,9,1,0.58,0.93,1
60.09,52.2,35.28,50.0,299.2,21,0,5.3,0.869,1
9.32,77.55,85.06,86.2,334.4,11,3,0.2,0.995,1
61.5,36.81,51.79,86.0,162.6,23,5,1.35,0.856,0
20.86,62.8,31.81,48.5,340.4,7,6,0.26,0.971,1
11.05,27.11,84.23,47.0,230.6,19,2,5.07,0.873,0
93.25,14.84,48.43,60.2,163.1,4,2,0.47,0.776,0
94.8,76.49,75.02,42.4,286.9,1,1,2.44,0.966,1
80.18,13.91,58.84,71.4,124.5,19,1,2.2,0.822,1
33.33,29.42,45.55,43.7,115.1,11,4,3.22,0.884,1
14.08,81.96,79.79,42.8,240.1,5,6,2.95,0.885,1
68.63,36.18,61.76,63.3,155.0,14,0,0.27,0.941,1
45.93,92.57,46.24,86.0,73.5,17,1,1.18,0.829,0
16.35,93.18,23.77,60.5,51.4,17,4,0.98,0.833,0
51.05,29.14,86.64,57.1,282.1,9,6,7.42,0.943,1
8.2,8.69,17.84,87.9,246.3,6,4,3.18,0.96,0
89.57,68.46,84.05,65.5,161.8,9,4,2.66,0.85,1
29.07,45.59,43.8,58.0,316.8,4,5,1.37,0.997,1
66.61,14.07,66.15,58.5,161.5,15,5,4.63,0.736,1
33.99,68.68,88.78,49.4,257.3,18,3,0.23,0.862,0
