gpu_vram_gb,workload_type,framework,model_size_mb,batch_size,dataset_size_mb,epochs,runtime_minutes
24.0,Inference,TensorFlow,2388.1,64,9342.6,100,284.0
10.0,Training,TensorFlow,2915.7,8,5216.3,10,360.0
48.0,Training,JAX,365.4,64,7494.9,50,56.75
12.0,Inference,PyTorch,3076.4,8,8087.6,50,360.0
24.0,FineTuning,PyTorch,1277.6,32,13771.5,5,77.33
8.0,Inference,PyTorch,3230.7,8,14727.2,50,360.0
24.0,Training,TensorFlow,2061.2,8,12251.6,10,360.0
48.0,FineTuning,PyTorch,1134.7,8,8475.4,50,360.0
12.0,FineTuning,TensorFlow,3813.4,16,13928.8,50,360.0
10.0,Training,PyTorch,3072.0,8,2753.9,10,360.0
48.0,FineTuning,PyTorch,3943.5,256,10477.8,30,75.64
48.0,FineTuning,PyTorch,1489.7,128,6961.0,50,56.12
8.0,Training,PyTorch,2614.4,32,2256.8,100,360.0
16.0,Training,PyTorch,2465.8,16,1220.6,5,74.87
12.0,FineTuning,PyTorch,2765.8,128,7263.1,20,238.01
6.0,FineTuning,PyTorch,201.4,32,3660.6,5,16.15
48.0,Inference,PyTorch,1202.3,16,3832.5,100,122.43
16.0,Training,TensorFlow,3641.9,32,4871.2,5,185.03
6.0,Training,TensorFlow,1724.1,64,10803.6,30,360.0
12.0,Inference,PyTorch,3844.5,32,2544.9,30,146.59
4.0,Inference,PyTorch,893.3,64,10791.6,5,34.18
16.0,Training,PyTorch,3989.8,64,11762.4,50,360.0
80.0,FineTuning,JAX,2805.4,256,8957.8,5,5.61
4.0,Training,PyTorch,3116.8,32,3788.6,100,360.0
8.0,Training,PyTorch,1617.6,64,867.8,50,150.67
24.0,Training,TensorFlow,3632.7,256,6178.4,10,44.71
10.0,Training,PyTorch,2204.6,16,12726.9,10,360.0
80.0,Inference,TensorFlow,2739.7,64,1617.9,30,6.94
8.0,FineTuning,PyTorch,424.5,8,11198.0,20,360.0
12.0,Inference,PyTorch,2545.1,16,7071.6,20,360.0
8.0,FineTuning,PyTorch,3522.4,256,13492.6,100,360.0
24.0,Training,TensorFlow,754.2,16,5407.4,30,360.0
12.0,FineTuning,TensorFlow,2964.0,16,10600.8,10,360.0
80.0,Inference,PyTorch,150.3,8,11127.8,30,14.89
24.0,FineTuning,PyTorch,3708.5,8,3061.3,10,360.0
6.0,FineTuning,PyTorch,3932.5,8,2456.4,50,360.0
10.0,Inference,JAX,1449.0,8,1481.7,100,360.0
80.0,Training,PyTorch,472.9,256,10553.6,10,3.41
6.0,FineTuning,TensorFlow,2651.4,8,8267.4,10,360.0
80.0,Inference,PyTorch,167.8,256,1392.1,10,0.95
12.0,Inference,PyTorch,1955.8,256,4694.2,20,10.45
6.0,Training,PyTorch,1123.5,128,2221.0,10,35.97
10.0,FineTuning,TensorFlow,1919.7,128,1480.9,5,10.19
24.0,FineTuning,TensorFlow,122.2,8,4551.7,50,97.0
48.0,Training,PyTorch,253.9,256,1534.8,20,2.24
8.0,FineTuning,PyTorch,113.1,16,3976.8,5,14.32
4.0,Training,PyTorch,2495.6,64,8335.5,20,360.0
10.0,Training,PyTorch,2262.4,64,8457.5,20,360.0
6.0,Training,JAX,971.0,128,2603.2,5,20.23
48.0,FineTuning,PyTorch,2604.2,8,2946.1,30,360.0
10.0,Training,TensorFlow,3542.6,32,12839.1,100,360.0
6.0,FineTuning,TensorFlow,1145.4,64,2587.3,100,360.0
16.0,Training,TensorFlow,3336.4,256,781.5,100,74.84
16.0,Training,JAX,2666.9,256,3747.8,30,112.7
10.0,Training,PyTorch,183.6,64,8688.8,10,28.0
16.0,Training,TensorFlow,1531.8,16,207.6,5,8.84
6.0,FineTuning,PyTorch,2055.6,64,14776.3,10,360.0
6.0,FineTuning,PyTorch,2940.2,128,3532.8,100,360.0
10.0,Training,TensorFlow,1184.2,8,3648.0,30,360.0
48.0,Training,PyTorch,3931.8,8,11105.4,5,360.0
24.0,FineTuning,TensorFlow,2753.9,256,3797.9,5,7.17
80.0,Training,TensorFlow,1522.6,64,6002.7,5,10.82
48.0,Inference,TensorFlow,433.2,32,8204.4,10,6.27
12.0,FineTuning,PyTorch,766.4,128,425.9,20,4.46
6.0,Training,PyTorch,1976.1,256,12575.7,20,338.39
12.0,Training,PyTorch,2004.0,64,7729.6,100,360.0
48.0,FineTuning,TensorFlow,3082.5,128,4762.5,20,41.73
80.0,Training,PyTorch,2918.4,32,6056.8,5,43.63
80.0,Training,PyTorch,845.0,256,931.8,30,2.08
4.0,Training,PyTorch,2400.1,128,10797.9,10,360.0
80.0,FineTuning,PyTorch,131.5,256,8138.6,10,1.49
24.0,FineTuning,PyTorch,1624.3,128,13718.5,30,148.09
80.0,Training,PyTorch,3068.2,128,7016.4,20,60.03
48.0,FineTuning,PyTorch,1628.1,256,12443.2,100,106.78
4.0,Training,TensorFlow,3350.6,8,2906.1,50,360.0
48.0,FineTuning,PyTorch,3905.8,32,942.0,30,56.94
48.0,Training,PyTorch,2448.5,256,14231.8,20,71.7
8.0,FineTuning,PyTorch,622.8,8,3928.7,5,138.46
4.0,Inference,TensorFlow,1549.7,16,12520.4,30,360.0
48.0,Training,PyTorch,87.5,64,3934.3,20,3.92
8.0,Training,PyTorch,2430.8,256,2422.0,10,36.69
8.0,Training,PyTorch,3295.2,8,11014.7,50,360.0
4.0,Training,PyTorch,2538.3,256,11698.3,50,360.0
12.0,Training,PyTorch,3155.0,256,12669.8,50,360.0
24.0,Inference,PyTorch,3209.6,256,12986.5,20,30.99
80.0,Inference,TensorFlow,3411.5,128,7298.7,20,9.19
24.0,Training,PyTorch,1103.3,16,6063.2,5,94.1
80.0,FineTuning,PyTorch,3491.5,32,11289.4,50,360.0
48.0,FineTuning,PyTorch,2633.7,32,8583.9,10,118.03
6.0,FineTuning,PyTorch,1194.4,256,14482.7,100,360.0
4.0,Training,JAX,3949.8,8,5700.0,50,360.0
24.0,Training,PyTorch,3803.2,256,738.8,30,21.48
24.0,FineTuning,TensorFlow,2319.0,128,8880.6,30,129.45
48.0,Training,TensorFlow,3380.7,128,5366.7,10,42.86
12.0,FineTuning,PyTorch,1082.9,256,5205.8,20,31.25
8.0,FineTuning,JAX,1693.3,32,8511.3,100,360.0
48.0,Training,PyTorch,776.7,128,13834.5,50,115.95
16.0,Training,PyTorch,2104.4,64,4077.7,100,360.0
8.0,Inference,PyTorch,2009.2,8,5755.9,30,360.0
4.0,FineTuning,PyTorch,890.6,8,13379.6,10,360.0
8.0,Inference,PyTorch,2707.6,128,13438.8,5,37.68
12.0,Training,PyTorch,515.3,32,3595.4,30,181.34
8.0,FineTuning,PyTorch,293.7,256,10624.3,30,40.96
4.0,FineTuning,PyTorch,1570.4,64,6291.9,50,360.0
12.0,Inference,PyTorch,1668.8,64,14046.4,20,112.83
24.0,Training,PyTorch,1313.0,256,11010.5,30,82.27
24.0,Training,PyTorch,1068.9,64,7465.9,30,166.14
80.0,Training,PyTorch,1388.2,16,12279.4,50,360.0
8.0,Inference,PyTorch,695.3,128,14968.4,20,33.22
24.0,Inference,PyTorch,1643.6,64,6760.9,100,152.14
4.0,Inference,PyTorch,3623.2,128,5665.3,5,45.08
10.0,Inference,PyTorch,936.5,32,9144.8,100,360.0
10.0,Training,PyTorch,2753.6,32,10277.9,5,360.0
12.0,Training,JAX,610.0,256,10596.3,5,12.29
24.0,Training,PyTorch,1447.9,32,7156.4,5,74.72
24.0,Training,PyTorch,1318.6,16,5051.2,20,360.0
10.0,Inference,PyTorch,3751.3,32,12346.7,5,116.0
24.0,Inference,PyTorch,1740.5,128,14378.1,50,79.67
8.0,Training,PyTorch,2777.3,8,12973.3,50,360.0
16.0,FineTuning,PyTorch,2429.7,8,10267.1,50,360.0
6.0,Inference,PyTorch,607.1,128,5466.2,5,6.01
80.0,FineTuning,PyTorch,3761.2,8,9375.0,50,360.0
12.0,Training,TensorFlow,1416.2,64,1607.3,50,199.1
16.0,FineTuning,PyTorch,226.8,8,8055.3,10,109.49
10.0,Training,PyTorch,1236.8,16,11740.1,5,360.0
24.0,FineTuning,TensorFlow,1375.8,32,3840.8,50,225.66
80.0,Training,PyTorch,416.3,8,7572.9,100,360.0
24.0,Training,TensorFlow,2498.9,8,1191.8,20,360.0
4.0,Inference,PyTorch,1419.7,256,12593.6,50,145.96
4.0,FineTuning,PyTorch,2535.1,16,5318.5,10,360.0
80.0,FineTuning,PyTorch,76.6,256,8774.9,20,1.04
80.0,Inference,JAX,3929.1,16,5740.2,20,65.89
10.0,Training,PyTorch,723.5,8,9004.2,100,360.0
80.0,Training,JAX,2654.4,64,11188.5,100,360.0
8.0,Inference,PyTorch,2877.3,8,4969.5,100,360.0
24.0,Training,PyTorch,727.9,64,7837.0,30,122.58
16.0,FineTuning,JAX,491.3,256,11943.6,10,13.14
48.0,Training,PyTorch,652.7,32,10349.0,10,50.07
80.0,Training,JAX,1024.9,128,950.4,50,6.35
12.0,FineTuning,PyTorch,714.5,32,8574.5,10,103.21
4.0,Training,JAX,2712.3,8,5707.4,20,360.0
8.0,FineTuning,PyTorch,1712.3,8,10660.8,20,360.0
48.0,FineTuning,PyTorch,2174.3,64,348.4,50,10.9
16.0,Inference,TensorFlow,237.0,16,5025.9,20,18.07
48.0,FineTuning,PyTorch,3451.9,256,1388.7,50,18.63
80.0,Training,PyTorch,723.8,256,13815.3,100,75.9
10.0,Inference,PyTorch,1472.6,256,13159.8,30,39.9
4.0,FineTuning,PyTorch,334.0,64,14524.5,10,146.64
4.0,FineTuning,JAX,590.3,16,9687.7,10,360.0
10.0,Inference,PyTorch,2679.9,16,12125.0,10,360.0
24.0,FineTuning,PyTorch,2785.7,16,9216.8,30,360.0
